[[0.13055360317230225], [0.8983446359634399], [0.7707117795944214], [0.005657076835632324]]
[[-0.18751826882362366], [0.4508114159107208], [0.24114283919334412], [-0.37994760274887085]]
[[-0.1429225206375122], [0.4284902811050415], [0.1465938538312912], [-0.3837321698665619]]
[[-0.15658064186573029], [0.4123290479183197], [0.08371970802545547], [-0.3971000015735626]]
[[-0.11824847757816315], [0.4138702154159546], [0.07942996919155121], [-0.36977365612983704]]
[[-0.04689468815922737], [0.4432588517665863], [0.026710817590355873], [-0.3488481640815735]]
[[0.012845167890191078], [0.47062480449676514], [0.030703572556376457], [-0.32122886180877686]]
[[0.027004024013876915], [0.44243788719177246], [-0.022619176656007767], [-0.34318527579307556]]
[[0.053168993443250656], [0.45394280552864075], [-0.029437793418765068], [-0.33175423741340637]]
[[0.08000042289495468], [0.4417998194694519], [-0.06270885467529297], [-0.32913902401924133]]
[[0.09389851987361908], [0.439171701669693], [-0.07359466701745987], [-0.32572227716445923]]
