[[-0.21143251657485962], [0.6508532762527466], [-0.8110405206680298], [-0.4392043352127075]]
[[0.08047179132699966], [0.6831958889961243], [-0.6830458641052246], [-0.24972465634346008]]
[[0.14308151602745056], [0.6489133834838867], [-0.7422860264778137], [-0.2502460777759552]]
[[0.21164114773273468], [0.6085228323936462], [-0.7783430814743042], [-0.2367054969072342]]
[[0.22720982134342194], [0.5830597877502441], [-0.7937507033348083], [-0.23484987020492554]]
[[0.25427529215812683], [0.5810663104057312], [-0.8007705211639404], [-0.23016728460788727]]
[[0.26306596398353577], [0.5794227123260498], [-0.8010038137435913], [-0.22627873718738556]]
[[0.27809250354766846], [0.5873919725418091], [-0.7911856174468994], [-0.2118375599384308]]
[[0.2757225036621094], [0.5817502737045288], [-0.7940211296081543], [-0.21425767242908478]]
[[0.27804675698280334], [0.5812475085258484], [-0.7942394018173218], [-0.2130207121372223]]
[[0.27924996614456177], [0.5809123516082764], [-0.7942498922348022], [-0.21226775646209717]]
