[[0.7995449304580688], [-0.16855233907699585], [-0.3763435482978821], [-1.0725197792053223]]
[[1.0269994735717773], [0.08546043932437897], [-0.32728150486946106], [-0.8225705027580261]]
[[1.1354819536209106], [0.17424935102462769], [-0.39620962738990784], [-0.7035620808601379]]
[[1.0677134990692139], [0.12568579614162445], [-0.4150696098804474], [-0.6692281365394592]]
[[1.0507049560546875], [0.10181833058595657], [-0.4359898269176483], [-0.646234929561615]]
[[1.039868712425232], [0.09941396117210388], [-0.43865054845809937], [-0.6185258626937866]]
[[1.025922417640686], [0.08947792649269104], [-0.45133328437805176], [-0.6134132146835327]]
[[1.0271116495132446], [0.09159847348928452], [-0.44722604751586914], [-0.5991319417953491]]
[[1.030946135520935], [0.09605903923511505], [-0.44488561153411865], [-0.5907045602798462]]
[[1.0264979600906372], [0.09177850931882858], [-0.4473995268344879], [-0.589863657951355]]
[[1.0249451398849487], [0.09012659639120102], [-0.4490060806274414], [-0.5888941884040833]]
