[[0.05613243579864502], [-0.0025593042373657227], [0.6490650177001953], [1.0470988750457764]]
[[-0.14042067527770996], [-0.39873006939888], [0.044987380504608154], [0.5539121627807617]]
[[-0.05548170953989029], [-0.40828803181648254], [-0.0011191690573468804], [0.5058715343475342]]
[[0.01115542184561491], [-0.4014008939266205], [-0.10175883769989014], [0.47389766573905945]]
[[0.07019137591123581], [-0.41316112875938416], [-0.13916058838367462], [0.4621473550796509]]
[[0.15876632928848267], [-0.39353063702583313], [-0.21136179566383362], [0.4580097496509552]]
[[0.1769152730703354], [-0.4005553126335144], [-0.25319239497184753], [0.44145408272743225]]
[[0.1930341273546219], [-0.4021068215370178], [-0.2826360762119293], [0.4266127347946167]]
[[0.2223755568265915], [-0.38899093866348267], [-0.2988172173500061], [0.4259397089481354]]
[[0.24138687551021576], [-0.3868715465068817], [-0.32115617394447327], [0.4147647023200989]]
[[0.25049179792404175], [-0.3810901939868927], [-0.32227304577827454], [0.417316198348999]]
