[[-0.020267963409423828], [-1.0924866199493408], [-0.1372852921485901], [0.09121811389923096]]
[[0.37507253885269165], [-0.7448365688323975], [0.040621355175971985], [0.4324648082256317]]
[[0.42527222633361816], [-0.7057792544364929], [-0.007704594638198614], [0.4218083322048187]]
[[0.4522378742694855], [-0.696829617023468], [-0.03224534913897514], [0.4070771634578705]]
[[0.4565947353839874], [-0.6950399279594421], [-0.03634486719965935], [0.4057162404060364]]
[[0.4579050838947296], [-0.6950763463973999], [-0.03946688398718834], [0.4045903980731964]]
[[0.4582171142101288], [-0.6949301362037659], [-0.03985810652375221], [0.4044983685016632]]
[[0.45804235339164734], [-0.6951775550842285], [-0.04028256982564926], [0.4041789174079895]]
[[0.4580504596233368], [-0.6951850056648254], [-0.040323980152606964], [0.40415921807289124]]
[[0.45804160833358765], [-0.6952152848243713], [-0.040352534502744675], [0.4041375517845154]]
[[0.45804160833358765], [-0.6952152848243713], [-0.04035419598221779], [0.4041375517845154]]
