[[-0.5044467449188232], [0.028647184371948242], [-0.5261649489402771], [0.9846417903900146]]
[[-0.3487606942653656], [-0.0860530287027359], [-0.6791608333587646], [0.7858722805976868]]
[[-0.1832728087902069], [-0.059617869555950165], [-0.719401478767395], [0.7511655688285828]]
[[-0.12386550009250641], [-0.06256750226020813], [-0.757912278175354], [0.705009400844574]]
[[-0.08892615139484406], [-0.06900414824485779], [-0.7681547403335571], [0.6889961361885071]]
[[-0.06188464164733887], [-0.07501528412103653], [-0.7849171757698059], [0.6702821850776672]]
[[-0.05633469298481941], [-0.07525584846735], [-0.787164568901062], [0.6676303148269653]]
[[-0.05296473950147629], [-0.07391776144504547], [-0.7858774662017822], [0.6677727103233337]]
[[-0.0524308867752552], [-0.07469812035560608], [-0.7869828939437866], [0.6664674878120422]]
[[-0.051599107682704926], [-0.07455316185951233], [-0.7871013283729553], [0.6661874651908875]]
[[-0.051427751779556274], [-0.07455077767372131], [-0.7871659994125366], [0.6661192178726196]]
