[[0.4581608772277832], [-1.0860992670059204], [-0.5599032044410706], [0.46829164028167725]]
[[0.47214317321777344], [-1.0720535516738892], [-0.5472517013549805], [0.48171964287757874]]
[[0.4804038405418396], [-1.063711166381836], [-0.5401692986488342], [0.48945915699005127]]
[[0.4879054129123688], [-1.0560981035232544], [-0.5337068438529968], [0.49651527404785156]]
[[0.4906094968318939], [-1.053289532661438], [-0.5313490629196167], [0.4990618824958801]]
[[0.4928528070449829], [-1.0507972240447998], [-0.5295231938362122], [0.5011239051818848]]
[[0.49372419714927673], [-1.0499602556228638], [-0.5287621021270752], [0.5019661784172058]]
[[0.4945191740989685], [-1.049257516860962], [-0.528115451335907], [0.5026934146881104]]
[[0.494831383228302], [-1.0488929748535156], [-0.5278046131134033], [0.5030317902565002]]
[[0.4950910210609436], [-1.0487325191497803], [-0.5275788307189941], [0.5032774806022644]]
[[0.4951726794242859], [-1.0487325191497803], [-0.5275105237960815], [0.503351092338562]]
