[[-0.5157409906387329], [0.5922870635986328], [-0.4829646348953247], [-0.5177279710769653]]
[[-0.22806552052497864], [0.7421503067016602], [-0.4205053448677063], [-0.3171939253807068]]
[[-0.1877344697713852], [0.6953875422477722], [-0.4833070933818817], [-0.34385162591934204]]
[[-0.1546752154827118], [0.7095361948013306], [-0.4772522747516632], [-0.32539865374565125]]
[[-0.14219090342521667], [0.7145623564720154], [-0.4770689904689789], [-0.32048699259757996]]
[[-0.13985081017017365], [0.7142186760902405], [-0.4784601628780365], [-0.32053130865097046]]
[[-0.1389962136745453], [0.7143815755844116], [-0.4787176251411438], [-0.3204759955406189]]
[[-0.1388583481311798], [0.7142767906188965], [-0.4788632094860077], [-0.32053685188293457]]
[[-0.13874465227127075], [0.7143041491508484], [-0.47888419032096863], [-0.3204920291900635]]
[[-0.13869132101535797], [0.7143157124519348], [-0.478892058134079], [-0.32048138976097107]]
[[-0.13867565989494324], [0.7143157124519348], [-0.47889456152915955], [-0.32047513127326965]]
