[[-0.40605634450912476], [0.6759133338928223], [-0.8917233347892761], [0.9175031185150146]]
[[-0.4184531569480896], [0.3830181658267975], [-1.0871537923812866], [0.630695641040802]]
[[-0.24047811329364777], [0.3141671121120453], [-1.0905976295471191], [0.5675815939903259]]
[[-0.11835739016532898], [0.29053211212158203], [-1.0401051044464111], [0.554481029510498]]
[[-0.10415857285261154], [0.25856032967567444], [-1.0576152801513672], [0.5292108654975891]]
[[-0.054740335792303085], [0.2639428973197937], [-1.0464996099472046], [0.5231595039367676]]
[[-0.04682520776987076], [0.25302329659461975], [-1.0535086393356323], [0.512884259223938]]
[[-0.03471614047884941], [0.2507873475551605], [-1.0553911924362183], [0.5086297392845154]]
[[-0.03123725950717926], [0.25032612681388855], [-1.0553646087646484], [0.5071454048156738]]
[[-0.034719426184892654], [0.24280157685279846], [-1.0620663166046143], [0.49917080998420715]]
[[-0.032893650233745575], [0.24242620170116425], [-1.0616400241851807], [0.49873867630958557]]
