[[-0.552115261554718], [0.2480306625366211], [0.12352144718170166], [-0.9412252902984619]]
[[-0.1767740547657013], [0.5740628242492676], [0.37874287366867065], [-0.5896682143211365]]
[[-0.16636450588703156], [0.5637131333351135], [0.33313828706741333], [-0.5990288257598877]]
[[-0.1629837304353714], [0.5540056228637695], [0.3193915784358978], [-0.6047640442848206]]
[[-0.16369743645191193], [0.5506373047828674], [0.31761741638183594], [-0.6060707569122314]]
[[-0.16372992098331451], [0.5499070286750793], [0.3163633942604065], [-0.606493353843689]]
[[-0.16322481632232666], [0.5500010251998901], [0.31632646918296814], [-0.6064255833625793]]
[[-0.16306118667125702], [0.5500032305717468], [0.3162517845630646], [-0.6064316630363464]]
[[-0.16302679479122162], [0.5500028133392334], [0.3162235915660858], [-0.6064258813858032]]
[[-0.16303245723247528], [0.549979567527771], [0.31620699167251587], [-0.6064451932907104]]
[[-0.16302870213985443], [0.549979567527771], [0.31620317697525024], [-0.6064451932907104]]
