[[-1.081089973449707], [-0.28836822509765625], [0.6154232025146484], [1.0395727157592773]]
[[-1.0428297519683838], [-0.37040263414382935], [0.4238843023777008], [0.877522885799408]]
[[-0.9893481135368347], [-0.36834535002708435], [0.36655768752098083], [0.8271195888519287]]
[[-0.9785193204879761], [-0.3780198395252228], [0.324828565120697], [0.796470046043396]]
[[-0.9678090810775757], [-0.3874472677707672], [0.3049488067626953], [0.7825976610183716]]
[[-0.952262282371521], [-0.381437212228775], [0.30052465200424194], [0.7825144529342651]]
[[-0.9447190165519714], [-0.38258013129234314], [0.29322338104248047], [0.7791540622711182]]
[[-0.940223753452301], [-0.38174787163734436], [0.29074251651763916], [0.7782607674598694]]
[[-0.9364082217216492], [-0.38072022795677185], [0.2894876301288605], [0.77840256690979]]
[[-0.9355995655059814], [-0.38158026337623596], [0.287483811378479], [0.7771710157394409]]
[[-0.9346287846565247], [-0.3813845217227936], [0.28703737258911133], [0.7770096659660339]]
