[[0.7049099206924438], [0.6495693922042847], [0.3795892000198364], [0.41483044624328613]]
[[0.2392776757478714], [0.12403872609138489], [-0.2133425921201706], [-0.07482919842004776]]
[[0.2705889940261841], [0.11741716414690018], [-0.24589312076568604], [-0.07203438133001328]]
[[0.27436336874961853], [0.11475884169340134], [-0.2518383860588074], [-0.07211479544639587]]
[[0.2751999497413635], [0.11432688683271408], [-0.2529396116733551], [-0.07221847772598267]]
[[0.27519339323043823], [0.1141720861196518], [-0.2532860338687897], [-0.07235774397850037]]
[[0.27518025040626526], [0.11413294821977615], [-0.2533632814884186], [-0.07239648699760437]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
[[0.2751784920692444], [0.11412795633077621], [-0.2533714771270752], [-0.07240255177021027]]
