[[0.1436786651611328], [-0.27698731422424316], [0.6806120872497559], [-1.0431089401245117]]
[[0.15714730322360992], [-0.26359981298446655], [0.6935169100761414], [-1.0296638011932373]]
[[0.16553941369056702], [-0.25538331270217896], [0.700568675994873], [-1.021466612815857]]
[[0.17156849801540375], [-0.2493443489074707], [0.7061921954154968], [-1.0152350664138794]]
[[0.1759941130876541], [-0.24492290616035461], [0.710249125957489], [-1.0108168125152588]]
[[0.1810302883386612], [-0.23992280662059784], [0.7146713733673096], [-1.0058531761169434]]
[[0.18237999081611633], [-0.2385716736316681], [0.7158704400062561], [-1.0044485330581665]]
[[0.1834416538476944], [-0.23750561475753784], [0.7168577909469604], [-1.0035290718078613]]
[[0.1841057687997818], [-0.23684825003147125], [0.7174853682518005], [-1.0029723644256592]]
[[0.18495169281959534], [-0.23600885272026062], [0.7181495428085327], [-1.0020843744277954]]
[[0.18520264327526093], [-0.23575876653194427], [0.7183951735496521], [-1.0017985105514526]]
[[0.18538174033164978], [-0.23557926714420319], [0.718519926071167], [-1.001509189605713]]
[[0.18548782169818878], [-0.2354724109172821], [0.7186408042907715], [-1.001509189605713]]
[[0.1856307089328766], [-0.23532727360725403], [0.7187677025794983], [-1.001509189605713]]
[[0.1856660693883896], [-0.23529152572155], [0.7187677025794983], [-1.001509189605713]]
[[0.18570195138454437], [-0.23525568842887878], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
[[0.18573768436908722], [-0.2352198213338852], [0.7187677025794983], [-1.001509189605713]]
