[[0.45127344131469727], [0.1090925931930542], [-1.065146565437317], [0.9471752643585205]]
[[0.37084174156188965], [-0.10453183203935623], [-1.2023597955703735], [0.7171497941017151]]
[[0.47474241256713867], [-0.17896316945552826], [-1.1923246383666992], [0.6344646215438843]]
[[0.5589193105697632], [-0.16454452276229858], [-1.1449095010757446], [0.6372243762016296]]
[[0.5830444693565369], [-0.20222969353199005], [-1.1382695436477661], [0.6088219881057739]]
[[0.606726348400116], [-0.20044803619384766], [-1.1414690017700195], [0.6084563732147217]]
[[0.6093283891677856], [-0.2103807032108307], [-1.1395838260650635], [0.6012128591537476]]
[[0.6239531636238098], [-0.20269547402858734], [-1.1298514604568481], [0.6063501238822937]]
[[0.6305737495422363], [-0.19743846356868744], [-1.1236779689788818], [0.6100039482116699]]
[[0.6248844861984253], [-0.2056107223033905], [-1.1314584016799927], [0.6006937623023987]]
[[0.6242680549621582], [-0.2075011432170868], [-1.1319204568862915], [0.5995886921882629]]
[[0.6252597570419312], [-0.2074527144432068], [-1.1315171718597412], [0.5994493961334229]]
[[0.6265428066253662], [-0.20687489211559296], [-1.1307860612869263], [0.5998459458351135]]
[[0.6269797682762146], [-0.2068745344877243], [-1.1306777000427246], [0.5997169613838196]]
[[0.6271836757659912], [-0.20693272352218628], [-1.1306884288787842], [0.5997044444084167]]
[[0.627230167388916], [-0.20702770352363586], [-1.130720615386963], [0.5995590090751648]]
[[0.6272461414337158], [-0.2070763260126114], [-1.1307284832000732], [0.5994846820831299]]
[[0.6272910833358765], [-0.2070758193731308], [-1.130726933479309], [0.5994759798049927]]
[[0.6273218393325806], [-0.20708216726779938], [-1.1307547092437744], [0.59947270154953]]
[[0.6273481845855713], [-0.20707909762859344], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.2070636749267578], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.20706436038017273], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
[[0.6273481845855713], [-0.207066610455513], [-1.1307547092437744], [0.5994733572006226]]
