[[0.024297356605529785], [-0.14003419876098633], [0.14055049419403076], [0.2716180086135864]]
[[0.6084426045417786], [-0.07676814496517181], [-0.6192002296447754], [0.1973976343870163]]
[[0.5599218010902405], [-0.1414300948381424], [-0.4810802638530731], [0.14355362951755524]]
[[0.895715594291687], [-0.12271748483181], [-0.8072326183319092], [0.11126487702131271]]
[[0.8479551076889038], [-0.18804113566875458], [-0.7567266821861267], [0.18096718192100525]]
[[0.8010270595550537], [-0.2971956133842468], [-0.7446069717407227], [0.2413846254348755]]
[[0.8280453681945801], [-0.28968545794487], [-0.7773297429084778], [0.23209020495414734]]
[[0.8080599904060364], [-0.3069168031215668], [-0.7765333652496338], [0.23257139325141907]]
[[0.8185924291610718], [-0.30355972051620483], [-0.7586844563484192], [0.25705260038375854]]
[[0.8029473423957825], [-0.32093119621276855], [-0.775056004524231], [0.24835580587387085]]
[[0.8128418922424316], [-0.3120875656604767], [-0.7673975825309753], [0.2591167688369751]]
[[0.809419572353363], [-0.31573620438575745], [-0.7699301838874817], [0.25659218430519104]]
[[0.8075370192527771], [-0.31749868392944336], [-0.7710102200508118], [0.25537213683128357]]
[[0.8064347505569458], [-0.31885266304016113], [-0.7722421288490295], [0.25471892952919006]]
[[0.8065838813781738], [-0.31877535581588745], [-0.7720789909362793], [0.25504744052886963]]
[[0.8070526719093323], [-0.31830543279647827], [-0.7717776298522949], [0.2554524838924408]]
[[0.8069199323654175], [-0.3184429407119751], [-0.7718207240104675], [0.2553914189338684]]
[[0.8071390390396118], [-0.3183039724826813], [-0.7716618180274963], [0.25555163621902466]]
[[0.8071161508560181], [-0.31832993030548096], [-0.7716736197471619], [0.2555416524410248]]
[[0.8071807026863098], [-0.3183066248893738], [-0.7716365456581116], [0.2555643618106842]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
[[0.8071807026863098], [-0.3183204233646393], [-0.7716365456581116], [0.25555726885795593]]
