[[-1.0433791875839233], [-0.9542889595031738], [-0.3228304386138916], [-0.10513448715209961]]
[[-0.9577525854110718], [-0.8686583042144775], [-0.2371988296508789], [-0.019502492621541023]]
[[-0.9350295066833496], [-0.8459352254867554], [-0.21447983384132385], [0.0032177818939089775]]
[[-0.9312994480133057], [-0.8422051668167114], [-0.21075186133384705], [0.006946652662009001]]
[[-0.9306478500366211], [-0.8415535688400269], [-0.21010440587997437], [0.007593169342726469]]
[[-0.9305429458618164], [-0.8414486646652222], [-0.21000254154205322], [0.0076962304301559925]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.20998510718345642], [0.007714527193456888]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007717669475823641]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.00771816773340106]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
[[-0.9305224418640137], [-0.8414281606674194], [-0.2099819779396057], [0.007718235719949007]]
