[[0.43332111835479736], [-0.9442058205604553], [-0.5837850570678711], [0.6950148344039917]]
[[0.5885398983955383], [-0.8163626194000244], [-0.6138691306114197], [0.7249948382377625]]
[[0.6829046607017517], [-0.7552003264427185], [-0.6936266422271729], [0.680185079574585]]
[[0.7980888485908508], [-0.6636130809783936], [-0.7255479693412781], [0.6800295114517212]]
[[0.8220336437225342], [-0.652118444442749], [-0.7651958465576172], [0.6584253311157227]]
[[0.8264678120613098], [-0.6460880637168884], [-0.7765759229660034], [0.6451936960220337]]
[[0.8230457305908203], [-0.6531749963760376], [-0.8014100790023804], [0.6255359053611755]]
[[0.8186736702919006], [-0.6588570475578308], [-0.8136380314826965], [0.6154555678367615]]
[[0.8224876523017883], [-0.6563274264335632], [-0.8155022859573364], [0.616128146648407]]
[[0.8216508626937866], [-0.6579142808914185], [-0.819484531879425], [0.6134496331214905]]
[[0.8228150010108948], [-0.6571162343025208], [-0.8193477988243103], [0.6139984130859375]]
[[0.823113739490509], [-0.6570143103599548], [-0.8205145001411438], [0.6133876442909241]]
[[0.8238912224769592], [-0.6563068628311157], [-0.820293128490448], [0.6138178110122681]]
[[0.8240920305252075], [-0.6561941504478455], [-0.8205633163452148], [0.6136881709098816]]
[[0.8244085907936096], [-0.6559398770332336], [-0.8204541206359863], [0.6138283014297485]]
[[0.8243774175643921], [-0.6559924483299255], [-0.8206050992012024], [0.6136918663978577]]
[[0.824410617351532], [-0.6559686064720154], [-0.8206122517585754], [0.6137004494667053]]
[[0.8244525790214539], [-0.6559346914291382], [-0.8206154704093933], [0.6137095093727112]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
[[0.824487030506134], [-0.6558954119682312], [-0.8205915689468384], [0.6137315630912781]]
