[[-0.08299887180328369], [0.26035940647125244], [0.6626121997833252], [-0.7781450748443604]]
[[-0.08180836588144302], [0.26142752170562744], [0.6630213260650635], [-0.7769432663917542]]
[[-0.08143628388643265], [0.2616848945617676], [0.662962794303894], [-0.7764937877655029]]
[[-0.08094487339258194], [0.2621491551399231], [0.6632900238037109], [-0.7759181261062622]]
[[-0.08060868084430695], [0.2624378204345703], [0.6635653972625732], [-0.7755964398384094]]
[[-0.08046580851078033], [0.26259443163871765], [0.663693368434906], [-0.775437593460083]]
[[-0.08037448674440384], [0.2626839280128479], [0.6637672781944275], [-0.7753470540046692]]
[[-0.08031303435564041], [0.2627483010292053], [0.6638388633728027], [-0.7752609848976135]]
[[-0.08027461916208267], [0.26278814673423767], [0.6638855934143066], [-0.7752076983451843]]
[[-0.08025013655424118], [0.262813925743103], [0.6639080047607422], [-0.7751808166503906]]
[[-0.08023645728826523], [0.2628268599510193], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022944629192352], [0.262834757566452], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022534847259521], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.0802234560251236], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
[[-0.08022060245275497], [0.26283830404281616], [0.6639297604560852], [-0.7751556634902954]]
