[[0.31526637077331543], [-0.027742505073547363], [-0.6391472220420837], [-0.5187450051307678]]
[[0.7360901832580566], [0.13550344109535217], [-0.7288472652435303], [-0.2681679427623749]]
[[0.6526920199394226], [-0.007431022357195616], [-0.8062329292297363], [-0.08300771564245224]]
[[0.6692429184913635], [-0.048521898686885834], [-0.8305134177207947], [0.027822894975543022]]
[[0.7149072885513306], [-0.06603046506643295], [-0.8594068288803101], [0.06054865941405296]]
[[0.6600238680839539], [-0.19599716365337372], [-0.7468879818916321], [0.26932016015052795]]
[[0.6883823275566101], [-0.2367301881313324], [-0.7123141288757324], [0.28552910685539246]]
[[0.6975792646408081], [-0.2670523226261139], [-0.6997109651565552], [0.28336745500564575]]
[[0.7204095125198364], [-0.2762826085090637], [-0.6919574737548828], [0.2828556001186371]]
[[0.7503445148468018], [-0.2889131009578705], [-0.6905295252799988], [0.2761102020740509]]
[[0.7441729307174683], [-0.3170740008354187], [-0.7165119051933289], [0.2749170660972595]]
[[0.7479432225227356], [-0.3272535502910614], [-0.7144023180007935], [0.2886524796485901]]
[[0.7416627407073975], [-0.3395562469959259], [-0.7231143116950989], [0.2813485264778137]]
[[0.777570366859436], [-0.32425275444984436], [-0.7257338166236877], [0.2992551922798157]]
[[0.7683567404747009], [-0.33477696776390076], [-0.7280412912368774], [0.2915850579738617]]
[[0.7835995554924011], [-0.3213063180446625], [-0.7209367752075195], [0.30027082562446594]]
[[0.7838255763053894], [-0.3260561525821686], [-0.7270054817199707], [0.29833483695983887]]
[[0.7809163331985474], [-0.3306747078895569], [-0.7274680137634277], [0.29803070425987244]]
[[0.7764581441879272], [-0.33671748638153076], [-0.7324550151824951], [0.2935750186443329]]
[[0.7733200788497925], [-0.3415820300579071], [-0.7375163435935974], [0.2900749444961548]]
[[0.7702209949493408], [-0.3454294800758362], [-0.7438589334487915], [0.28602588176727295]]
[[0.7727634310722351], [-0.34390801191329956], [-0.7435780167579651], [0.2877557873725891]]
[[0.7750717401504517], [-0.341941773891449], [-0.7415354251861572], [0.29050973057746887]]
[[0.7745798826217651], [-0.3427075743675232], [-0.7420716881752014], [0.29005417227745056]]
[[0.7752612829208374], [-0.34217309951782227], [-0.7418217062950134], [0.2905486226081848]]
[[0.776354968547821], [-0.3414684534072876], [-0.7413894534111023], [0.2914107143878937]]
[[0.7760612964630127], [-0.3418459892272949], [-0.7416168451309204], [0.2911810576915741]]
[[0.7758540511131287], [-0.34212562441825867], [-0.7418512105941772], [0.2909962236881256]]
[[0.7757481336593628], [-0.3423122763633728], [-0.7419582605361938], [0.2908935546875]]
[[0.7763221859931946], [-0.34176185727119446], [-0.7415343523025513], [0.2914975583553314]]
[[0.7763820886611938], [-0.341796338558197], [-0.7416496872901917], [0.29146620631217957]]
[[0.7764371037483215], [-0.341800332069397], [-0.7416231632232666], [0.2915211617946625]]
[[0.7765626907348633], [-0.3417360186576843], [-0.7414833903312683], [0.29165083169937134]]
[[0.7765569090843201], [-0.34177929162979126], [-0.7415107488632202], [0.2916373908519745]]
[[0.7766802906990051], [-0.34166836738586426], [-0.7414515614509583], [0.29173973202705383]]
[[0.7766506671905518], [-0.3416883051395416], [-0.7414782643318176], [0.29172754287719727]]
[[0.7766154408454895], [-0.34171223640441895], [-0.741512656211853], [0.29171523451805115]]
[[0.7766154408454895], [-0.3417568504810333], [-0.741512656211853], [0.2916862666606903]]
[[0.7766154408454895], [-0.3417123258113861], [-0.741512656211853], [0.29174041748046875]]
[[0.7766154408454895], [-0.3417123258113861], [-0.741512656211853], [0.29174041748046875]]
[[0.7766154408454895], [-0.3417123258113861], [-0.741512656211853], [0.29174041748046875]]
