[[-0.6848634481430054], [-0.29995185136795044], [-0.631076455116272], [0.6584247350692749]]
[[-0.14234158396720886], [-0.04364536330103874], [-0.7105501294136047], [0.65087890625]]
[[-0.09172998368740082], [-0.04646119475364685], [-0.7286384701728821], [0.633565366268158]]
[[-0.0870722159743309], [-0.047251686453819275], [-0.730411946773529], [0.6311248540878296]]
[[-0.08696609735488892], [-0.04744753986597061], [-0.7306879162788391], [0.6308339834213257]]
[[-0.08694130927324295], [-0.04745040461421013], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
[[-0.08694130927324295], [-0.04745053872466087], [-0.7306958436965942], [0.6308213472366333]]
