[[-0.7868233919143677], [0.3651057481765747], [0.5436762571334839], [0.617280125617981]]
[[-0.8086840510368347], [0.34035781025886536], [0.517961859703064], [0.5920000672340393]]
[[-0.8240055441856384], [0.3237658739089966], [0.5007574558258057], [0.5750809907913208]]
[[-0.834373414516449], [0.3119708299636841], [0.48866036534309387], [0.5632250308990479]]
[[-0.8412317633628845], [0.3040921688079834], [0.48039373755455017], [0.5552199482917786]]
[[-0.8488264679908752], [0.29536542296409607], [0.4711228907108307], [0.5462611317634583]]
[[-0.8509362936019897], [0.2928636968135834], [0.46841299533843994], [0.5436950922012329]]
[[-0.8524047136306763], [0.2911180257797241], [0.466553658246994], [0.5419027209281921]]
[[-0.8534564971923828], [0.2898723781108856], [0.4652249813079834], [0.5406209230422974]]
[[-0.8545011281967163], [0.288349449634552], [0.46357107162475586], [0.5393063426017761]]
[[-0.8549109101295471], [0.2879796624183655], [0.46317288279533386], [0.538800060749054]]
[[-0.8551116585731506], [0.28772735595703125], [0.46290162205696106], [0.538539469242096]]
[[-0.8553148508071899], [0.287483274936676], [0.46263423562049866], [0.5382863283157349]]
[[-0.8555172681808472], [0.2872401475906372], [0.4623734951019287], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
[[-0.8555172681808472], [0.2871128022670746], [0.46223175525665283], [0.5380355715751648]]
