[[-0.08570384979248047], [0.27465391159057617], [-0.6624034643173218], [0.6093932390213013]]
[[1.2213493585586548], [-0.29179584980010986], [-1.2663922309875488], [0.285885751247406]]
[[1.2585104703903198], [-0.6692588329315186], [-1.3924623727798462], [0.7138462066650391]]
[[1.1245957612991333], [-0.6512919068336487], [-1.184929609298706], [0.7132734060287476]]
[[1.217610239982605], [-0.6045490503311157], [-1.3518131971359253], [0.7955695986747742]]
[[1.0067439079284668], [-0.6590703129768372], [-1.0243231058120728], [0.6831073760986328]]
[[1.1092315912246704], [-0.5899713039398193], [-1.097503423690796], [0.6398949027061462]]
[[1.053995966911316], [-0.5666216015815735], [-1.0991547107696533], [0.6231477856636047]]
[[0.9809863567352295], [-0.5874829888343811], [-1.0217934846878052], [0.6249916553497314]]
[[1.012647271156311], [-0.5632093548774719], [-1.0283787250518799], [0.5970152616500854]]
[[0.9486638903617859], [-0.5717694759368896], [-1.0278223752975464], [0.6114927530288696]]
[[0.9406268000602722], [-0.567463219165802], [-1.0140836238861084], [0.6165441870689392]]
[[0.9565786719322205], [-0.5508723855018616], [-1.0058842897415161], [0.6295971274375916]]
[[0.9467297792434692], [-0.5610975623130798], [-1.0093343257904053], [0.618628740310669]]
[[0.9454652070999146], [-0.563360869884491], [-1.0132989883422852], [0.615674614906311]]
[[0.9461652636528015], [-0.5644770860671997], [-1.0156636238098145], [0.6141104698181152]]
[[0.9492458701133728], [-0.5641118288040161], [-1.0210331678390503], [0.6124228835105896]]
[[0.954338550567627], [-0.5577101707458496], [-1.0181708335876465], [0.6149752736091614]]
[[0.9535087943077087], [-0.5586839318275452], [-1.0190588235855103], [0.6139721274375916]]
[[0.9532381892204285], [-0.5590953230857849], [-1.0196961164474487], [0.6133172512054443]]
[[0.9529813528060913], [-0.5594208240509033], [-1.0201338529586792], [0.612895667552948]]
[[0.9552392959594727], [-0.5580061674118042], [-1.02104914188385], [0.6127700209617615]]
[[0.9561784267425537], [-0.557307779788971], [-1.0207792520523071], [0.6132538318634033]]
[[0.9561261534690857], [-0.5573769807815552], [-1.020916223526001], [0.6131417751312256]]
[[0.9560702443122864], [-0.5574459433555603], [-1.0209988355636597], [0.6130605936050415]]
[[0.955997109413147], [-0.5575382709503174], [-1.02106773853302], [0.6129587888717651]]
[[0.9559879899024963], [-0.5575524568557739], [-1.0210939645767212], [0.6129463911056519]]
[[0.9560762643814087], [-0.5574667453765869], [-1.0210939645767212], [0.612978458404541]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
[[0.9561930298805237], [-0.5573691129684448], [-1.0210939645767212], [0.6130253672599792]]
