[[-0.09832853078842163], [-1.0662128925323486], [0.7866343259811401], [-0.6075116395950317]]
[[0.1452416181564331], [-0.8235830664634705], [1.0008984804153442], [-0.36693209409713745]]
[[0.23626308143138885], [-0.7236260771751404], [1.059515118598938], [-0.27513736486434937]]
[[0.2836468517780304], [-0.6681013703346252], [1.1023393869400024], [-0.221329465508461]]
[[0.30869412422180176], [-0.6361861824989319], [1.1280548572540283], [-0.1879599243402481]]
[[0.3475451171398163], [-0.590125560760498], [1.1438205242156982], [-0.15379850566387177]]
[[0.3473040461540222], [-0.5847117900848389], [1.1317639350891113], [-0.14875927567481995]]
[[0.3562193512916565], [-0.5705647468566895], [1.128401279449463], [-0.1331339031457901]]
[[0.36275365948677063], [-0.5641645789146423], [1.1124836206436157], [-0.1258859634399414]]
[[0.37549901008605957], [-0.5531922578811646], [1.0813730955123901], [-0.11884220689535141]]
[[0.37402209639549255], [-0.5514614582061768], [1.064283847808838], [-0.11717750877141953]]
[[0.36626291275024414], [-0.556836724281311], [1.0407638549804688], [-0.12499784678220749]]
[[0.3731984496116638], [-0.5493467450141907], [1.0386799573898315], [-0.11835401505231857]]
[[0.38077545166015625], [-0.5411049127578735], [1.0223881006240845], [-0.11181668192148209]]
[[0.38093847036361694], [-0.5399777293205261], [1.0137569904327393], [-0.11119849234819412]]
[[0.3813176453113556], [-0.5389534831047058], [1.0057026147842407], [-0.11066944897174835]]
[[0.3819229006767273], [-0.5379294157028198], [0.9990249276161194], [-0.10961668193340302]]
[[0.38331690430641174], [-0.5369424223899841], [0.9869511723518372], [-0.10824378579854965]]
[[0.3835436701774597], [-0.536284863948822], [0.9819645285606384], [-0.10787780582904816]]
[[0.38193976879119873], [-0.537126362323761], [0.9753828644752502], [-0.10962199419736862]]
[[0.379770964384079], [-0.5388494729995728], [0.9705899357795715], [-0.11181886494159698]]
[[0.3810349702835083], [-0.537908673286438], [0.9651245474815369], [-0.11097101122140884]]
[[0.3817877769470215], [-0.5373570919036865], [0.9637005925178528], [-0.11069340258836746]]
[[0.38372454047203064], [-0.5354228019714355], [0.9628931879997253], [-0.10884686559438705]]
[[0.38448652625083923], [-0.5347047448158264], [0.9609624147415161], [-0.10832096636295319]]
[[0.38746878504753113], [-0.5314415693283081], [0.9590657353401184], [-0.1055389940738678]]
[[0.3876791298389435], [-0.5310996174812317], [0.9574964046478271], [-0.10526514053344727]]
[[0.38788697123527527], [-0.5308554172515869], [0.955897331237793], [-0.10494024306535721]]
[[0.3880827724933624], [-0.5305998921394348], [0.9544288516044617], [-0.10467716306447983]]
[[0.388767272233963], [-0.5300150513648987], [0.9515464901924133], [-0.10433227568864822]]
[[0.3889158070087433], [-0.5298831462860107], [0.9504830241203308], [-0.10419653356075287]]
[[0.38904207944869995], [-0.5297486186027527], [0.9495663046836853], [-0.1041017696261406]]
[[0.3897417485713959], [-0.5291334390640259], [0.9490138292312622], [-0.10355475544929504]]
[[0.38966986536979675], [-0.5291044116020203], [0.9475862979888916], [-0.10338081419467926]]
[[0.38960525393486023], [-0.5290787220001221], [0.9472220540046692], [-0.1034243032336235]]
[[0.38956451416015625], [-0.529007077217102], [0.9466986656188965], [-0.1033964604139328]]
[[0.38962578773498535], [-0.5289641618728638], [0.9462149739265442], [-0.10332658141851425]]
[[0.3895549476146698], [-0.5288984179496765], [0.9453979134559631], [-0.10332884639501572]]
[[0.3897990882396698], [-0.528714120388031], [0.9453277587890625], [-0.1030827984213829]]
[[0.3898490071296692], [-0.5286423563957214], [0.9450088739395142], [-0.10300746560096741]]
[[0.3898995518684387], [-0.5285992622375488], [0.9447410702705383], [-0.10296416282653809]]
