[[-0.9019023180007935], [0.1739126443862915], [-0.16373395919799805], [-1.010972499847412]]
[[-0.9019023180007935], [0.1739126443862915], [-0.16373395919799805], [-1.010972499847412]]
[[-0.46474117040634155], [0.5701613426208496], [0.21044853329658508], [-0.5938802361488342]]
[[-0.43780088424682617], [0.5749430656433105], [0.19439321756362915], [-0.5864802598953247]]
[[-0.41218698024749756], [0.5860115885734558], [0.20518843829631805], [-0.5705358386039734]]
[[-0.4013501703739166], [0.5908441543579102], [0.20603826642036438], [-0.5650123953819275]]
[[-0.39712846279144287], [0.5931734442710876], [0.2067413330078125], [-0.5622193217277527]]
[[-0.3960035443305969], [0.5932497978210449], [0.20706616342067719], [-0.5612413287162781]]
[[-0.3948904871940613], [0.5936559438705444], [0.2070532888174057], [-0.5606709718704224]]
[[-0.3942717909812927], [0.5941134691238403], [0.20749059319496155], [-0.5600813031196594]]
[[-0.3941490948200226], [0.5940859317779541], [0.20748819410800934], [-0.5600417852401733]]
[[-0.3940941393375397], [0.5940752625465393], [0.20748907327651978], [-0.5600061416625977]]
[[-0.39407721161842346], [0.5940481424331665], [0.20747244358062744], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074679136276245], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
[[-0.394065260887146], [0.5940481424331665], [0.2074686586856842], [-0.5600128173828125]]
