[[0.6816277503967285], [0.6448851823806763], [-0.2509213089942932], [-0.6649215221405029]]
[[0.6698114275932312], [0.6274626851081848], [-0.2722541391849518], [-0.6777319312095642]]
[[0.666642963886261], [0.6214050650596619], [-0.2807038426399231], [-0.6811016201972961]]
[[0.6652828454971313], [0.6191872358322144], [-0.28391796350479126], [-0.6827653050422668]]
[[0.664742112159729], [0.6183498501777649], [-0.2850203812122345], [-0.6833980679512024]]
[[0.6647041440010071], [0.6182113885879517], [-0.2852535545825958], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
[[0.6647041440010071], [0.6182113885879517], [-0.28537681698799133], [-0.6834781765937805]]
