[[0.7859714031219482], [0.45015060901641846], [0.8339415788650513], [-0.02638721466064453]]
[[0.4809056222438812], [0.13237981498241425], [0.49859508872032166], [-0.34526681900024414]]
[[0.45471397042274475], [0.10136312246322632], [0.4615150988101959], [-0.3734586536884308]]
[[0.45302191376686096], [0.09945391863584518], [0.45900025963783264], [-0.3750678598880768]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
[[0.45295873284339905], [0.09932984411716461], [0.4588946998119354], [-0.3751230537891388]]
