[[-1.0828076601028442], [-0.5328912734985352], [0.3613450527191162], [0.09804725646972656]]
[[0.8128600120544434], [-0.45925796031951904], [-1.0109108686447144], [0.6474243998527527]]
[[1.1154507398605347], [-0.5428788065910339], [-1.0078017711639404], [0.4739195704460144]]
[[1.1056398153305054], [-0.5715093016624451], [-1.0088722705841064], [0.4657015800476074]]
[[1.107783317565918], [-0.5702493786811829], [-1.0103447437286377], [0.4665282964706421]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.4672390818595886]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
[[1.108542799949646], [-0.5694924592971802], [-1.0095399618148804], [0.46729034185409546]]
