[[1.0], [1.0], [1.0], [1.0]]
[[1.036724328994751], [-0.7016317248344421], [-1.0765012502670288], [0.6623142957687378]]
[[1.1194143295288086], [-0.738250195980072], [-1.1978154182434082], [0.7203160524368286]]
[[1.140242576599121], [-0.7170453667640686], [-1.179953932762146], [0.7371366620063782]]
[[1.1396255493164062], [-0.7175890207290649], [-1.180067539215088], [0.7370046973228455]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
[[1.1396255493164062], [-0.7176022529602051], [-1.180067539215088], [0.7369982600212097]]
