[[0.9055850505828857], [0.344226598739624], [0.7654788494110107], [0.2144073247909546]]
[[0.8940726518630981], [0.3327062129974365], [0.7539584636688232], [0.2028869390487671]]
[[0.8863943815231323], [0.32506322860717773], [0.7462747097015381], [0.19522356986999512]]
[[0.8796195387840271], [0.3181912302970886], [0.739482045173645], [0.18837884068489075]]
[[0.8769707083702087], [0.3155835270881653], [0.7368332147598267], [0.1857711374759674]]
[[0.8748958706855774], [0.31346946954727173], [0.7347543239593506], [0.18365547060966492]]
[[0.8740360140800476], [0.3126474618911743], [0.733893632888794], [0.18285343050956726]]
[[0.8733507990837097], [0.31196194887161255], [0.7332073450088501], [0.18216794729232788]]
[[0.8730434775352478], [0.31169337034225464], [0.7329000234603882], [0.18189968168735504]]
[[0.8728147745132446], [0.31146466732025146], [0.7326712608337402], [0.18167124688625336]]
[[0.8727384805679321], [0.31138867139816284], [0.7325949668884277], [0.18159526586532593]]
[[0.8727384805679321], [0.311267614364624], [0.7325949668884277], [0.18151584267616272]]
[[0.8727384805679321], [0.311267614364624], [0.7325949668884277], [0.18147754669189453]]
[[0.8727384805679321], [0.311267614364624], [0.7325949668884277], [0.1814584732055664]]
[[0.8727384805679321], [0.311267614364624], [0.7325949668884277], [0.1814584732055664]]
