[[-0.26037269830703735], [-0.26386821269989014], [-0.7372780442237854], [0.6020393371582031]]
[[0.025080187246203423], [-0.1365506649017334], [-0.7136579155921936], [0.6455348134040833]]
[[0.13950197398662567], [-0.11711694300174713], [-0.754027783870697], [0.6264773607254028]]
[[0.1473885476589203], [-0.14140550792217255], [-0.7878608703613281], [0.5849601626396179]]
[[0.16937553882598877], [-0.1328776478767395], [-0.7864930629730225], [0.5850829482078552]]
[[0.17421622574329376], [-0.1313602328300476], [-0.7863578796386719], [0.5836122632026672]]
[[0.17486953735351562], [-0.13205228745937347], [-0.7873210906982422], [0.5824559926986694]]
[[0.17558734118938446], [-0.13168960809707642], [-0.7871570587158203], [0.5825048089027405]]
[[0.1757894903421402], [-0.13159847259521484], [-0.7871409058570862], [0.5824936032295227]]
[[0.17587973177433014], [-0.13155728578567505], [-0.7871109843254089], [0.5824989080429077]]
[[0.17589420080184937], [-0.13155460357666016], [-0.7871109843254089], [0.5824989080429077]]
