[[-0.6074732542037964], [-0.027802586555480957], [-0.561695396900177], [-0.7198530435562134]]
[[-0.04982643947005272], [0.3886480927467346], [-0.2673501968383789], [-0.2646159827709198]]
[[0.1642743945121765], [0.36456164717674255], [-0.42515888810157776], [-0.16498593986034393]]
[[0.26572316884994507], [0.35839176177978516], [-0.4585011303424835], [-0.14436273276805878]]
[[0.33587202429771423], [0.31634995341300964], [-0.536494255065918], [-0.14587362110614777]]
[[0.4933703541755676], [0.29825305938720703], [-0.6041983962059021], [-0.13257423043251038]]
[[0.5621795058250427], [0.277917742729187], [-0.6209860444068909], [-0.10241047292947769]]
[[0.5789031386375427], [0.22915604710578918], [-0.661074697971344], [-0.10943090915679932]]
[[0.6421718597412109], [0.19151082634925842], [-0.7001787424087524], [-0.11392698436975479]]
[[0.6991062760353088], [0.14231230318546295], [-0.702245831489563], [-0.04706766456365585]]
[[0.6946191191673279], [0.08546197414398193], [-0.725854218006134], [-0.061812225729227066]]
