[[-0.564486563205719], [-0.5697688460350037], [0.017902731895446777], [-0.6259892582893372]]
[[-0.05385348200798035], [-0.12235897779464722], [0.30978599190711975], [-0.18322880566120148]]
[[0.01413500215858221], [-0.09860055893659592], [0.3212382197380066], [-0.1464443802833557]]
[[-0.009462926536798477], [-0.09998106956481934], [0.3280077874660492], [-0.13279883563518524]]
[[-0.0029222401790320873], [-0.08435958623886108], [0.3263295590877533], [-0.12518830597400665]]
[[-0.02226441539824009], [-0.0881175696849823], [0.31031763553619385], [-0.12292151153087616]]
[[-0.02091122977435589], [-0.08935676515102386], [0.29841315746307373], [-0.12638646364212036]]
[[-0.016363566741347313], [-0.08659721165895462], [0.30731523036956787], [-0.11251625418663025]]
[[-0.0007198333041742444], [-0.06961983442306519], [0.32649871706962585], [-0.09143079817295074]]
[[0.013665282167494297], [-0.06938572973012924], [0.31934046745300293], [-0.08356674015522003]]
[[0.02653699554502964], [-0.06216015666723251], [0.32166799902915955], [-0.07335914671421051]]
