[[-0.6656007766723633], [0.40353524684906006], [-0.3052247166633606], [0.8624187707901001]]
[[-0.5453681349754333], [0.14059126377105713], [-0.5761422514915466], [0.6033924221992493]]
[[-0.3614654242992401], [0.11439856141805649], [-0.6129464507102966], [0.5568326711654663]]
[[-0.26899072527885437], [0.09123965352773666], [-0.660801112651825], [0.5393165946006775]]
[[-0.1957375705242157], [0.09836187213659286], [-0.6786342859268188], [0.5389379858970642]]
[[-0.14846141636371613], [0.09599488973617554], [-0.6921549439430237], [0.5220473408699036]]
[[-0.1430433839559555], [0.089507095515728], [-0.7042052745819092], [0.5121673941612244]]
[[-0.13441522419452667], [0.09011977910995483], [-0.7030557990074158], [0.5120755434036255]]
[[-0.12999914586544037], [0.09023761749267578], [-0.7029871940612793], [0.5116840600967407]]
[[-0.1264246553182602], [0.0892276018857956], [-0.702826976776123], [0.5109191536903381]]
[[-0.12573592364788055], [0.08898508548736572], [-0.7027592658996582], [0.510685384273529]]
