[[-0.6374710202217102], [0.6115363836288452], [-0.2897007465362549], [-0.5638239979743958]]
[[-0.5002450346946716], [0.6765282154083252], [-0.18824715912342072], [-0.43597114086151123]]
[[-0.4888632297515869], [0.673839807510376], [-0.1859145313501358], [-0.43037042021751404]]
[[-0.4875510632991791], [0.6739571690559387], [-0.18546852469444275], [-0.4296947121620178]]
[[-0.48753002285957336], [0.6738817095756531], [-0.1855061799287796], [-0.4297105073928833]]
[[-0.48752036690711975], [0.6738763451576233], [-0.18550199270248413], [-0.4297034442424774]]
[[-0.48752036690711975], [0.6738763451576233], [-0.18550199270248413], [-0.4297034442424774]]
[[-0.48752036690711975], [0.6738763451576233], [-0.18550199270248413], [-0.4297034442424774]]
[[-0.48752036690711975], [0.6738763451576233], [-0.18550199270248413], [-0.4297034442424774]]
[[-0.48752036690711975], [0.6738763451576233], [-0.18550199270248413], [-0.4297034442424774]]
[[-0.48752036690711975], [0.6738763451576233], [-0.18550199270248413], [-0.4297034442424774]]
