[[-0.5433377027511597], [-0.7008371353149414], [0.25038254261016846], [0.7605500221252441]]
[[-0.44388604164123535], [-0.6590103507041931], [0.250965416431427], [0.7867124080657959]]
[[-0.4211270213127136], [-0.6464570760726929], [0.25778865814208984], [0.7919431924819946]]
[[-0.411822110414505], [-0.6397921442985535], [0.25998014211654663], [0.7955071926116943]]
[[-0.4106760323047638], [-0.6391409635543823], [0.25966590642929077], [0.7958241105079651]]
[[-0.4106821119785309], [-0.6392213702201843], [0.25943559408187866], [0.7956671118736267]]
[[-0.41065165400505066], [-0.6392059922218323], [0.25943171977996826], [0.7956765294075012]]
[[-0.41064557433128357], [-0.6392000317573547], [0.25942784547805786], [0.7956791520118713]]
[[-0.41064557433128357], [-0.6392000317573547], [0.25942784547805786], [0.7956791520118713]]
[[-0.41064557433128357], [-0.6392000317573547], [0.25942784547805786], [0.7956791520118713]]
[[-0.41064557433128357], [-0.6392000317573547], [0.25942784547805786], [0.7956791520118713]]
