[[0.5678523778915405], [-0.1658698320388794], [-0.00037348270416259766], [-1.0075699090957642]]
[[0.5770366787910461], [-0.15652680397033691], [0.008332922123372555], [-0.9981099367141724]]
[[0.581492006778717], [-0.15203462541103363], [0.012757508084177971], [-0.9935429096221924]]
[[0.582838237285614], [-0.15068015456199646], [0.014053316786885262], [-0.9921606779098511]]
[[0.5833314061164856], [-0.1502041518688202], [0.014509594067931175], [-0.9916576743125916]]
[[0.5834812521934509], [-0.15005438029766083], [0.014654295518994331], [-0.9915032386779785]]
[[0.5834812521934509], [-0.14999906718730927], [0.014699875377118587], [-0.9915032386779785]]
[[0.5834812521934509], [-0.14999064803123474], [0.014714685268700123], [-0.9915032386779785]]
[[0.5834812521934509], [-0.14999064803123474], [0.014719885773956776], [-0.9915032386779785]]
[[0.5834812521934509], [-0.14999064803123474], [0.014721696265041828], [-0.9915032386779785]]
[[0.5834812521934509], [-0.14999064803123474], [0.014721696265041828], [-0.9915032386779785]]
