[[0.6763032674789429], [-0.07069158554077148], [0.324043869972229], [-0.22827249765396118]]
[[0.6805236339569092], [-0.13013899326324463], [0.09414040297269821], [-0.2469637542963028]]
[[0.8002542853355408], [-0.1815326064825058], [-0.1710273176431656], [-0.16655167937278748]]
[[0.8172789216041565], [-0.22214384377002716], [-0.303959459066391], [-0.137459859251976]]
[[0.7863081097602844], [-0.27256858348846436], [-0.39888083934783936], [-0.08081676065921783]]
[[0.8211297392845154], [-0.26129305362701416], [-0.5209240317344666], [-0.0672055184841156]]
[[0.8275582790374756], [-0.23773518204689026], [-0.5159631967544556], [-0.01190277561545372]]
[[0.8296734690666199], [-0.25514307618141174], [-0.5635986328125], [0.00036795600317418575]]
[[0.8248830437660217], [-0.2607209086418152], [-0.5295764207839966], [0.05892914533615112]]
[[0.7944478392601013], [-0.30289170145988464], [-0.5237464308738708], [0.10752830654382706]]
[[0.7843663692474365], [-0.3200378715991974], [-0.5295937657356262], [0.11661634594202042]]
