[[-0.5057815909385681], [0.390214204788208], [0.44359254837036133], [0.8624701499938965]]
[[-0.6345985531806946], [0.04172392189502716], [-0.05607558414340019], [0.46084389090538025]]
[[-0.551795482635498], [0.028821367770433426], [-0.12929078936576843], [0.39778372645378113]]
[[-0.5114719867706299], [0.01731489971280098], [-0.17663872241973877], [0.3502877950668335]]
[[-0.38391193747520447], [0.007157175801694393], [-0.1842530369758606], [0.36481645703315735]]
[[-0.2643751800060272], [-0.04581800475716591], [-0.2616487443447113], [0.3446294963359833]]
[[-0.07455454766750336], [-0.015412506647408009], [-0.31990429759025574], [0.3352563977241516]]
[[0.01575055532157421], [-0.02485187165439129], [-0.4079670011997223], [0.27857378125190735]]
[[0.1450796127319336], [-0.006533119361847639], [-0.44068920612335205], [0.28142011165618896]]
[[0.22053062915802002], [-0.03834034129977226], [-0.49303242564201355], [0.25233888626098633]]
[[0.27099934220314026], [-0.058646172285079956], [-0.4982258975505829], [0.24314680695533752]]
