[[-0.8107532262802124], [0.03386330604553223], [0.6794052124023438], [-0.6222761273384094]]
[[-0.488575279712677], [0.24653692543506622], [0.678565502166748], [-0.4376262426376343]]
[[-0.49302658438682556], [0.22380372881889343], [0.6721120476722717], [-0.43843287229537964]]
[[-0.4733991026878357], [0.23821862041950226], [0.6672266721725464], [-0.42310675978660583]]
[[-0.4534609317779541], [0.26048317551612854], [0.6796520352363586], [-0.3991618752479553]]
[[-0.4672568142414093], [0.2374463677406311], [0.6673134565353394], [-0.4115596115589142]]
[[-0.4535374343395233], [0.2474907785654068], [0.6854095458984375], [-0.39354848861694336]]
[[-0.46278128027915955], [0.2356514036655426], [0.6731221675872803], [-0.40062618255615234]]
[[-0.4591706097126007], [0.2386641949415207], [0.6745266318321228], [-0.3941722810268402]]
[[-0.4597010016441345], [0.23544764518737793], [0.673371434211731], [-0.39536842703819275]]
[[-0.46077460050582886], [0.23257099092006683], [0.6693432927131653], [-0.39856094121932983]]
