[[-0.3179391622543335], [-0.7066493034362793], [-0.9246877431869507], [0.10171854496002197]]
[[-0.18929792940616608], [-0.5780638456344604], [-0.7977110147476196], [0.22953160107135773]]
[[-0.09993264079093933], [-0.489103227853775], [-0.7135241031646729], [0.31656867265701294]]
[[-0.043090566992759705], [-0.4342518448829651], [-0.6630809307098389], [0.3708455562591553]]
[[-0.002158166142180562], [-0.39566856622695923], [-0.6294412016868591], [0.4075222313404083]]
[[0.0529051311314106], [-0.34511759877204895], [-0.585823655128479], [0.4561700224876404]]
[[0.07009579986333847], [-0.3295457065105438], [-0.5725305676460266], [0.4705197811126709]]
[[0.08013816922903061], [-0.32080078125], [-0.5649080276489258], [0.4788004755973816]]
[[0.08973394334316254], [-0.31208139657974243], [-0.5578641891479492], [0.48621615767478943]]
[[0.09802677482366562], [-0.30492594838142395], [-0.5528001189231873], [0.4921148419380188]]
[[0.10043080151081085], [-0.30290135741233826], [-0.5512518286705017], [0.49380841851234436]]
[[0.10139120370149612], [-0.3022591769695282], [-0.550882875919342], [0.4943104088306427]]
[[0.10239586979150772], [-0.301443487405777], [-0.5503576993942261], [0.49497464299201965]]
[[0.10356933623552322], [-0.30048564076423645], [-0.5497180819511414], [0.4957161247730255]]
[[0.10388803482055664], [-0.3001962900161743], [-0.5495433211326599], [0.4959340989589691]]
[[0.10411794483661652], [-0.29999732971191406], [-0.5494188666343689], [0.4960866868495941]]
[[0.10428003966808319], [-0.2998493015766144], [-0.549356997013092], [0.4961971044540405]]
[[0.10447506606578827], [-0.29969820380210876], [-0.5492314696311951], [0.4963119626045227]]
[[0.1045377254486084], [-0.2996498942375183], [-0.5492314696311951], [0.4963475167751312]]
[[0.1045893207192421], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10462576150894165], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10466081649065018], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
[[0.10467848181724548], [-0.29958832263946533], [-0.5492314696311951], [0.496398389339447]]
