[[0.5880753993988037], [0.4139077663421631], [0.37298357486724854], [-0.1441625952720642]]
[[0.48973605036735535], [0.30069926381111145], [0.256747841835022], [-0.25156623125076294]]
[[0.44423040747642517], [0.2512904405593872], [0.20441997051239014], [-0.2967758774757385]]
[[0.4241642653942108], [0.22978846728801727], [0.18049922585487366], [-0.31633320450782776]]
[[0.41554173827171326], [0.21946939826011658], [0.1685430407524109], [-0.3248194754123688]]
[[0.4091094732284546], [0.2114303708076477], [0.15774565935134888], [-0.3313630223274231]]
[[0.4074452221393585], [0.2090269774198532], [0.15476110577583313], [-0.3332870304584503]]
[[0.4072304368019104], [0.20826755464076996], [0.15352147817611694], [-0.3340073227882385]]
[[0.4068155288696289], [0.20774084329605103], [0.1527247130870819], [-0.33443865180015564]]
[[0.4063883423805237], [0.2070785015821457], [0.1518767774105072], [-0.3349931836128235]]
[[0.40629690885543823], [0.20696020126342773], [0.1517040729522705], [-0.33509358763694763]]
[[0.40623146295547485], [0.206883043050766], [0.15160217881202698], [-0.3351624011993408]]
[[0.40620261430740356], [0.20684091746807098], [0.1515439748764038], [-0.3351942300796509]]
[[0.4061678946018219], [0.2067735344171524], [0.15145985782146454], [-0.3352424204349518]]
[[0.4061678946018219], [0.20676551759243011], [0.15144583582878113], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
[[0.4061678946018219], [0.20675581693649292], [0.15143217146396637], [-0.3352424204349518]]
