[[0.6367493867874146], [-1.038686990737915], [-0.6095494031906128], [0.5424768924713135]]
[[0.7386673092842102], [-0.9469391107559204], [-0.543386697769165], [0.6250334978103638]]
[[0.7714975476264954], [-0.9166783690452576], [-0.5453375577926636], [0.6341309547424316]]
[[0.7787781953811646], [-0.9096220135688782], [-0.5552389621734619], [0.6277143955230713]]
[[0.7940630316734314], [-0.8944282531738281], [-0.5555441379547119], [0.6335821151733398]]
[[0.8017581105232239], [-0.8865233659744263], [-0.557396411895752], [0.6342803835868835]]
[[0.8031163811683655], [-0.885583758354187], [-0.5592961311340332], [0.6333010792732239]]
[[0.803308367729187], [-0.8855884671211243], [-0.5601616501808167], [0.6326307654380798]]
[[0.8038101196289062], [-0.8850584030151367], [-0.5606598854064941], [0.6325108408927917]]
[[0.8044387698173523], [-0.8845212459564209], [-0.5612486004829407], [0.6322561502456665]]
[[0.8045628666877747], [-0.8844080567359924], [-0.5613803863525391], [0.6322313547134399]]
[[0.8046267032623291], [-0.8843342065811157], [-0.5614447593688965], [0.6321964859962463]]
[[0.8046758770942688], [-0.8842876553535461], [-0.5614565014839172], [0.6321964263916016]]
[[0.8046947717666626], [-0.8842797875404358], [-0.5615242123603821], [0.6321536898612976]]
[[0.8047023415565491], [-0.8842728137969971], [-0.5615293383598328], [0.6321528553962708]]
[[0.8047059774398804], [-0.8842694163322449], [-0.5615344047546387], [0.6321515440940857]]
[[0.8047100901603699], [-0.8842658400535583], [-0.5615385174751282], [0.6321507692337036]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
[[0.804714560508728], [-0.8842619061470032], [-0.5615416765213013], [0.6321496963500977]]
