[[-0.19232994318008423], [0.3699173927307129], [0.34074854850769043], [0.21947121620178223]]
[[-0.3124317526817322], [0.17020991444587708], [0.06643761694431305], [0.060602158308029175]]
[[-0.33894237875938416], [0.13388559222221375], [0.04535868391394615], [0.034733280539512634]]
[[-0.34904706478118896], [0.12238910049200058], [0.031039288267493248], [0.03218648210167885]]
[[-0.34041205048561096], [0.12394111603498459], [0.03603091090917587], [0.03855694457888603]]
[[-0.3405835032463074], [0.11937312036752701], [0.028406057506799698], [0.03680497780442238]]
[[-0.33967724442481995], [0.11804024875164032], [0.02549600973725319], [0.038009997457265854]]
[[-0.339819997549057], [0.11744263768196106], [0.024256564676761627], [0.03802229091525078]]
[[-0.33982643485069275], [0.11699999868869781], [0.023746727034449577], [0.03749344125390053]]
[[-0.3397146463394165], [0.11689597368240356], [0.023619111627340317], [0.037542182952165604]]
[[-0.33971676230430603], [0.1170588880777359], [0.023512830957770348], [0.037775855511426926]]
[[-0.3397747576236725], [0.11689481884241104], [0.023293927311897278], [0.03774604946374893]]
[[-0.3397485613822937], [0.11694982647895813], [0.02328086644411087], [0.0377945676445961]]
[[-0.33965611457824707], [0.11698178946971893], [0.023326950147747993], [0.037870969623327255]]
[[-0.33964747190475464], [0.11697662621736526], [0.023311642929911613], [0.03788093850016594]]
[[-0.3396386206150055], [0.11697112768888474], [0.02330620400607586], [0.03787677362561226]]
[[-0.3396422564983368], [0.11695728451013565], [0.023294853046536446], [0.03787710890173912]]
[[-0.3396502435207367], [0.11694339662790298], [0.023287372663617134], [0.03787185996770859]]
[[-0.3396424353122711], [0.1169462725520134], [0.02328997664153576], [0.03787912800908089]]
[[-0.33964309096336365], [0.11694541573524475], [0.023287711665034294], [0.037879399955272675]]
[[-0.33964353799819946], [0.11694451421499252], [0.023285871371626854], [0.037878282368183136]]
[[-0.3396433889865875], [0.11694446951150894], [0.02328573539853096], [0.03787853568792343]]
[[-0.33964335918426514], [0.11694394797086716], [0.023285817354917526], [0.037878260016441345]]
[[-0.339643269777298], [0.11694377660751343], [0.02328559197485447], [0.03787843883037567]]
[[-0.3396432399749756], [0.11694370210170746], [0.02328541688621044], [0.03787846490740776]]
[[-0.3396432399749756], [0.11694375425577164], [0.023285439237952232], [0.03787849843502045]]
[[-0.3396432399749756], [0.11694374680519104], [0.02328535169363022], [0.03787851706147194]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285316303372383], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285286501049995], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
[[-0.3396432399749756], [0.11694374680519104], [0.023285280913114548], [0.037878528237342834]]
