[[0.7548317909240723], [-0.11678314208984375], [0.9845647811889648], [0.054265737533569336]]
[[0.5086844563484192], [-0.37383878231048584], [0.6357340812683105], [-0.21296295523643494]]
[[0.5661200881004333], [-0.32985416054725647], [0.592613935470581], [-0.16526977717876434]]
[[0.5580072999000549], [-0.35364264249801636], [0.535783588886261], [-0.17603819072246552]]
[[0.5422748327255249], [-0.3753596544265747], [0.4955943524837494], [-0.19456176459789276]]
[[0.5541739463806152], [-0.3642520308494568], [0.47796955704689026], [-0.17889513075351715]]
[[0.5566256642341614], [-0.36226505041122437], [0.4757550060749054], [-0.17553110420703888]]
[[0.5575613975524902], [-0.3617176413536072], [0.4730472266674042], [-0.17433515191078186]]
[[0.5593348145484924], [-0.3603101372718811], [0.4727325737476349], [-0.1721464991569519]]
[[0.5585717558860779], [-0.36092525720596313], [0.4701051414012909], [-0.1730872392654419]]
[[0.5581080913543701], [-0.36134886741638184], [0.4691682457923889], [-0.17355680465698242]]
[[0.5579376220703125], [-0.36150625348091125], [0.4687112867832184], [-0.17365850508213043]]
[[0.5580100417137146], [-0.3614502251148224], [0.46863141655921936], [-0.1735718846321106]]
[[0.5581456422805786], [-0.3613579273223877], [0.4685989320278168], [-0.1734149008989334]]
[[0.5581490993499756], [-0.3613607585430145], [0.4685554802417755], [-0.17340508103370667]]
[[0.5581662654876709], [-0.3613418936729431], [0.4685477912425995], [-0.17338284850120544]]
[[0.5581708550453186], [-0.36133816838264465], [0.46853652596473694], [-0.1733822226524353]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17337071895599365]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
[[0.5581836104393005], [-0.36132997274398804], [0.4685334265232086], [-0.17336712777614594]]
