[[-0.170521080493927], [0.393604040145874], [-0.8624759912490845], [-0.12003189325332642]]
[[0.051355864852666855], [0.4756363332271576], [-0.8318127989768982], [-0.06334900856018066]]
[[0.143633171916008], [0.483838826417923], [-0.8295109868049622], [-0.03880930691957474]]
[[0.17743374407291412], [0.4792279303073883], [-0.8239023089408875], [-0.028747433796525]]
[[0.19230246543884277], [0.4799595773220062], [-0.8183215856552124], [-0.02339814230799675]]
[[0.20019792020320892], [0.47498202323913574], [-0.8186161518096924], [-0.022737232968211174]]
[[0.20129455626010895], [0.4746808409690857], [-0.8186454772949219], [-0.022621333599090576]]
[[0.20215187966823578], [0.47444385290145874], [-0.8186264634132385], [-0.022443531081080437]]
[[0.20249377191066742], [0.4743375778198242], [-0.818569540977478], [-0.02236984483897686]]
[[0.2026330679655075], [0.4742172956466675], [-0.8185517191886902], [-0.022331975400447845]]
[[0.20267921686172485], [0.4742089807987213], [-0.8185453414916992], [-0.022329270839691162]]
[[0.20269326865673065], [0.4742068946361542], [-0.8185420632362366], [-0.02232355996966362]]
[[0.20269732177257538], [0.4741996228694916], [-0.8185391426086426], [-0.022322438657283783]]
[[0.20269861817359924], [0.47418901324272156], [-0.8185421228408813], [-0.022324353456497192]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324955090880394]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022325048223137856]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.02232503332197666]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
[[0.20269832015037537], [0.47418901324272156], [-0.8185421228408813], [-0.022324712947010994]]
