[[-0.3700868487358093], [-1.074543833732605], [0.11281585693359375], [0.9945051670074463]]
[[0.22365333139896393], [-0.6613367795944214], [-0.25292545557022095], [0.9688003063201904]]
[[0.41471558809280396], [-0.639002799987793], [-0.45727264881134033], [0.8211785554885864]]
[[0.46410977840423584], [-0.601954996585846], [-0.4866204261779785], [0.8042697310447693]]
[[0.46080416440963745], [-0.6091456413269043], [-0.498503714799881], [0.7939905524253845]]
[[0.4604279696941376], [-0.6099213361740112], [-0.5003681778907776], [0.7923458218574524]]
[[0.4602288603782654], [-0.6102170348167419], [-0.5009111166000366], [0.7918660640716553]]
[[0.4602241516113281], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
[[0.4602240324020386], [-0.6102316379547119], [-0.500960111618042], [0.7918232679367065]]
