[[-0.5664728283882141], [0.00215756893157959], [0.22753000259399414], [-1.0507676601409912]]
[[0.21044185757637024], [0.38529691100120544], [-0.0007781069725751877], [-0.6374928951263428]]
[[0.3307625949382782], [0.36701253056526184], [-0.09215688705444336], [-0.5890613198280334]]
[[0.3927721679210663], [0.34247222542762756], [-0.24464158713817596], [-0.5341653823852539]]
[[0.42444396018981934], [0.3456681966781616], [-0.3158916234970093], [-0.4641585648059845]]
[[0.5307533144950867], [0.24959705770015717], [-0.4224441349506378], [-0.3946627676486969]]
[[0.570281445980072], [0.2490406036376953], [-0.41679778695106506], [-0.3740363121032715]]
[[0.5685002207756042], [0.24654674530029297], [-0.4114943742752075], [-0.33497875928878784]]
[[0.5622890591621399], [0.21492218971252441], [-0.4676915109157562], [-0.34630653262138367]]
[[0.5874153971672058], [0.2278265506029129], [-0.45996972918510437], [-0.3213844299316406]]
[[0.5851166248321533], [0.21811728179454803], [-0.47452738881111145], [-0.3259968161582947]]
[[0.5927339792251587], [0.21764862537384033], [-0.47965356707572937], [-0.3222227394580841]]
[[0.595039963722229], [0.21995909512043], [-0.47606948018074036], [-0.31580832600593567]]
[[0.5961527824401855], [0.2173444628715515], [-0.4807448089122772], [-0.3143700659275055]]
[[0.5952100157737732], [0.2152906358242035], [-0.48391038179397583], [-0.31583645939826965]]
[[0.5957502126693726], [0.215831458568573], [-0.4830402731895447], [-0.31440359354019165]]
[[0.5973793864250183], [0.21668478846549988], [-0.48264482617378235], [-0.3130131959915161]]
[[0.5973405838012695], [0.21621295809745789], [-0.48352110385894775], [-0.3128683567047119]]
[[0.5971170663833618], [0.21576234698295593], [-0.48408275842666626], [-0.3131989538669586]]
[[0.5970295071601868], [0.215681254863739], [-0.4841764271259308], [-0.3131227195262909]]
[[0.5974164009094238], [0.21597681939601898], [-0.4839830696582794], [-0.3127434253692627]]
[[0.5973397493362427], [0.21591579914093018], [-0.48402291536331177], [-0.31264713406562805]]
[[0.5972952246665955], [0.2158428132534027], [-0.48408570885658264], [-0.31268802285194397]]
[[0.5972750782966614], [0.21583297848701477], [-0.4840952455997467], [-0.31267091631889343]]
[[0.5973154902458191], [0.215861976146698], [-0.4840601980686188], [-0.31261661648750305]]
[[0.5973043441772461], [0.21585510671138763], [-0.4840603768825531], [-0.3125949203968048]]
[[0.597343385219574], [0.21587401628494263], [-0.4840488135814667], [-0.3125781714916229]]
[[0.597343385219574], [0.21587887406349182], [-0.4840468764305115], [-0.31257086992263794]]
[[0.597343385219574], [0.21587829291820526], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
[[0.597343385219574], [0.21587570011615753], [-0.4840456545352936], [-0.3125675618648529]]
