[[0.071297287940979], [0.21227240562438965], [-0.4133339524269104], [0.9734249114990234]]
[[0.19349877536296844], [-0.012994912452995777], [-0.9108976721763611], [0.5391638278961182]]
[[0.2756226360797882], [-0.008389798924326897], [-0.9374868273735046], [0.5004535913467407]]
[[0.2940841317176819], [-0.008731679990887642], [-0.936469316482544], [0.5002568960189819]]
[[0.2996171712875366], [-0.0075134169310331345], [-0.9352509379386902], [0.5013141632080078]]
[[0.2999168336391449], [-0.007931320928037167], [-0.93549644947052], [0.5010359883308411]]
[[0.2999727427959442], [-0.007953662425279617], [-0.935478687286377], [0.5010411143302917]]
[[0.29998764395713806], [-0.007956990972161293], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795675814151764], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
[[0.29998764395713806], [-0.00795716606080532], [-0.9354812502861023], [0.5010393857955933]]
