[[0.16410422325134277], [0.7823473215103149], [-1.0106323957443237], [-0.913558840751648]]
[[0.49284160137176514], [0.8033866286277771], [-0.806401789188385], [-0.578623354434967]]
[[0.7102689743041992], [0.7758966088294983], [-0.8479293584823608], [-0.4623468816280365]]
[[0.6791439652442932], [0.6024625301361084], [-0.8936458826065063], [-0.4190288186073303]]
[[0.7300431728363037], [0.5775596499443054], [-0.896706223487854], [-0.358756959438324]]
[[0.6974643468856812], [0.5097105503082275], [-0.9254586100578308], [-0.35822737216949463]]
[[0.7182297110557556], [0.5155133605003357], [-0.8873324394226074], [-0.3179998993873596]]
[[0.7189646363258362], [0.5001999735832214], [-0.8967335224151611], [-0.32284995913505554]]
[[0.7243106961250305], [0.49918150901794434], [-0.891217827796936], [-0.3141171932220459]]
[[0.7279821038246155], [0.49685630202293396], [-0.8889056444168091], [-0.31052497029304504]]
[[0.7281678915023804], [0.49638938903808594], [-0.8893104195594788], [-0.31134259700775146]]
[[0.7291088700294495], [0.49548715353012085], [-0.8883528709411621], [-0.3107566237449646]]
[[0.7268711924552917], [0.4927843511104584], [-0.8905608057975769], [-0.31264737248420715]]
[[0.7262521386146545], [0.49178507924079895], [-0.8903712630271912], [-0.31271013617515564]]
[[0.7257975339889526], [0.49121755361557007], [-0.8904818892478943], [-0.31293773651123047]]
[[0.7252610325813293], [0.49062275886535645], [-0.8908249139785767], [-0.31345799565315247]]
[[0.7251364588737488], [0.49043700098991394], [-0.8908929824829102], [-0.31357213854789734]]
[[0.7249850630760193], [0.49025020003318787], [-0.8909947276115417], [-0.31373387575149536]]
[[0.7249153852462769], [0.4901503622531891], [-0.8910645246505737], [-0.31381186842918396]]
[[0.724912166595459], [0.4901335537433624], [-0.8910592198371887], [-0.3138028681278229]]
[[0.7249125242233276], [0.4901283085346222], [-0.8910519480705261], [-0.31380289793014526]]
[[0.7249065637588501], [0.49012115597724915], [-0.8910539150238037], [-0.3138028085231781]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
[[0.7249065637588501], [0.4901074469089508], [-0.8910539150238037], [-0.31381362676620483]]
