[[1.0785744190216064], [-1.040705919265747], [0.9965696334838867], [-0.5852593779563904]]
[[1.0886435508728027], [-1.0293810367584229], [1.0053601264953613], [-0.5741972923278809]]
[[1.0949995517730713], [-1.0222351551055908], [1.0112718343734741], [-0.5671387910842896]]
[[1.1013575792312622], [-1.0147497653961182], [1.0173134803771973], [-0.5601379871368408]]
[[1.1037806272506714], [-1.0120799541473389], [1.0195157527923584], [-0.5574835538864136]]
[[1.1054483652114868], [-1.0100061893463135], [1.0211113691329956], [-0.5557234287261963]]
[[1.1060879230499268], [-1.0092310905456543], [1.0217227935791016], [-0.554889440536499]]
[[1.106602668762207], [-1.0086385011672974], [1.0222139358520508], [-0.554225504398346]]
[[1.1068564653396606], [-1.0083329677581787], [1.0224567651748657], [-0.5539250373840332]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5537008047103882]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
[[1.1069962978363037], [-1.0081820487976074], [1.0225865840911865], [-0.5536113977432251]]
