[[0.9569621086120605], [-0.12237697839736938], [-0.23514163494110107], [-0.6332525014877319]]
[[0.9662811756134033], [-0.11243757605552673], [-0.22878019511699677], [-0.6237783432006836]]
[[0.9750626087188721], [-0.10245557874441147], [-0.22031112015247345], [-0.6127723455429077]]
[[0.9852876663208008], [-0.09123434126377106], [-0.21176636219024658], [-0.6007506251335144]]
[[0.985866904258728], [-0.09043986350297928], [-0.21217504143714905], [-0.5997781753540039]]
[[0.987601101398468], [-0.08812709152698517], [-0.2109089493751526], [-0.5966976284980774]]
[[0.9902573227882385], [-0.08543277531862259], [-0.2094288021326065], [-0.5940197706222534]]
[[0.9919702410697937], [-0.08323032408952713], [-0.20756570994853973], [-0.591278076171875]]
[[0.993384838104248], [-0.08169626444578171], [-0.20655983686447144], [-0.5895066261291504]]
[[0.9939769506454468], [-0.08091358095407486], [-0.20604614913463593], [-0.5884118676185608]]
[[0.9944829344749451], [-0.08030855655670166], [-0.2056179642677307], [-0.5876888632774353]]
[[0.9947412014007568], [-0.07998064160346985], [-0.2055419236421585], [-0.5872073769569397]]
[[0.9948785305023193], [-0.07976441085338593], [-0.20547176897525787], [-0.5869486331939697]]
[[0.9951483011245728], [-0.07943451404571533], [-0.20531818270683289], [-0.5865507125854492]]
[[0.9952922463417053], [-0.0792735293507576], [-0.20523259043693542], [-0.5863397121429443]]
[[0.9953268766403198], [-0.07916885614395142], [-0.20520640909671783], [-0.5862038731575012]]
[[0.9953650832176208], [-0.07913760095834732], [-0.20521633327007294], [-0.5861353278160095]]
[[0.9954001903533936], [-0.07908572256565094], [-0.20522192120552063], [-0.5860738754272461]]
[[0.9955226182937622], [-0.07894822210073471], [-0.2050810605287552], [-0.5859091877937317]]
[[0.9955741763114929], [-0.07889274507761002], [-0.20506709814071655], [-0.5858219861984253]]
[[0.9955984950065613], [-0.07887551188468933], [-0.20507043600082397], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07886740565299988], [-0.20508329570293427], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07885850965976715], [-0.20508410036563873], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07883185893297195], [-0.20506928861141205], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07882244139909744], [-0.2050609290599823], [-0.5857773423194885]]
[[0.9955984950065613], [-0.0788073018193245], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07880217581987381], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879753410816193], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
[[0.9955984950065613], [-0.07879945635795593], [-0.20504455268383026], [-0.5857773423194885]]
