[[0.4706019163131714], [0.6743569374084473], [0.8835804462432861], [0.005738496780395508]]
[[0.1388719528913498], [0.09672471135854721], [0.04849265143275261], [-0.29772987961769104]]
[[0.21738290786743164], [0.12392911314964294], [-0.051136113703250885], [-0.3194407522678375]]
[[0.219028502702713], [0.12099140137434006], [-0.06571751087903976], [-0.32496747374534607]]
[[0.2198335826396942], [0.12173070758581161], [-0.06556976586580276], [-0.32423993945121765]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
[[0.21986418962478638], [0.12174342572689056], [-0.06562730669975281], [-0.32424992322921753]]
