[[-0.5335175395011902], [-0.865639328956604], [-0.20475846529006958], [-1.012964129447937]]
[[-0.3586379885673523], [-0.690819263458252], [-0.030031315982341766], [-0.8381595015525818]]
[[-0.31090039014816284], [-0.643132746219635], [0.017682937905192375], [-0.7904676795005798]]
[[-0.30343160033226013], [-0.6355465054512024], [0.025158781558275223], [-0.782882034778595]]
[[-0.3021431863307953], [-0.6342547535896301], [0.02642747387290001], [-0.7815902829170227]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02664044126868248], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02667684108018875], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
[[-0.30194053053855896], [-0.6340926289558411], [0.02668190374970436], [-0.7814281582832336]]
