[[-0.7394437193870544], [-0.3850764036178589], [0.9831976890563965], [-0.861968994140625]]
[[0.6717581748962402], [-0.2935918867588043], [-0.7210912704467773], [0.25579890608787537]]
[[0.8591480255126953], [-0.38544362783432007], [-0.7753212451934814], [0.28010648488998413]]
[[0.8632892966270447], [-0.3836401700973511], [-0.7661241888999939], [0.29336410760879517]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
[[0.8637009263038635], [-0.3833453357219696], [-0.765774667263031], [0.2938077747821808]]
