[[-0.37726467847824097], [0.8729989528656006], [-1.0883177518844604], [0.3942091464996338]]
[[1.1003175973892212], [-0.10062631964683533], [-0.8082603812217712], [-0.03595589101314545]]
[[0.9784421920776367], [-0.4878159463405609], [-0.6216065883636475], [0.2433996945619583]]
[[0.8575814366340637], [-0.6346932649612427], [-0.7322232127189636], [0.5340090394020081]]
[[1.0515592098236084], [-0.456073135137558], [-1.0056339502334595], [0.3701566755771637]]
[[0.9724593162536621], [-0.4856704771518707], [-0.8743687868118286], [0.43711891770362854]]
[[1.0298975706100464], [-0.4380452334880829], [-0.9736031889915466], [0.39479145407676697]]
[[1.0256119966506958], [-0.4338204860687256], [-1.0566534996032715], [0.3668102025985718]]
[[1.0043452978134155], [-0.43390852212905884], [-1.0493234395980835], [0.4097335636615753]]
[[0.9895377159118652], [-0.440692275762558], [-0.9972068667411804], [0.46145474910736084]]
[[0.9940879940986633], [-0.4368884265422821], [-0.9842895865440369], [0.4691554307937622]]
[[0.9952412843704224], [-0.4372349977493286], [-0.9613584876060486], [0.48015519976615906]]
[[0.9790182709693909], [-0.45467323064804077], [-0.9705713987350464], [0.4656426012516022]]
[[0.9871249794960022], [-0.4514055848121643], [-0.969171404838562], [0.46779048442840576]]
[[0.9889030456542969], [-0.45049548149108887], [-0.9703171253204346], [0.4674536883831024]]
[[0.9848374128341675], [-0.45462754368782043], [-0.9738231897354126], [0.4632103145122528]]
[[0.9842297434806824], [-0.45498427748680115], [-0.9735915064811707], [0.46332424879074097]]
[[0.9832912087440491], [-0.4560402035713196], [-0.9734592437744141], [0.4631791114807129]]
[[0.9841928482055664], [-0.45528745651245117], [-0.9724764227867126], [0.46418771147727966]]
[[0.9840591549873352], [-0.45552048087120056], [-0.972589910030365], [0.4638560116291046]]
[[0.9840022325515747], [-0.4555990993976593], [-0.9726414084434509], [0.46373915672302246]]
[[0.9839549660682678], [-0.45565277338027954], [-0.9727721214294434], [0.4636640250682831]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
[[0.9839549660682678], [-0.4557574987411499], [-0.9727721214294434], [0.46357813477516174]]
