[[1.0], [1.0], [1.0], [1.0]]
[[0.5149965286254883], [0.5149965286254883], [0.5149965286254883], [0.5149965286254883]]
[[0.4012439250946045], [0.4012439250946045], [0.4012439250946045], [0.4012439250946045]]
[[0.3666132390499115], [0.3664003610610962], [0.36618977785110474], [0.36623191833496094]]
[[0.3624730408191681], [0.36224061250686646], [0.362030029296875], [0.36207839846611023]]
[[0.3614594638347626], [0.3612087666988373], [0.3609950840473175], [0.3610458970069885]]
[[0.3613467216491699], [0.3610949218273163], [0.36088013648986816], [0.360930860042572]]
[[0.3613104224205017], [0.3610583543777466], [0.3608435094356537], [0.3608940839767456]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
[[0.3613066077232361], [0.36105453968048096], [0.36083969473838806], [0.36089026927948]]
