[[0.37828850746154785], [0.049018263816833496], [0.9747076034545898], [-0.5753211379051208]]
[[0.9086984395980835], [0.05420342832803726], [-0.21334509551525116], [-0.3064219653606415]]
[[1.0027958154678345], [-0.13688313961029053], [-0.44485095143318176], [-0.2653176486492157]]
[[0.9606183767318726], [-0.15690647065639496], [-0.6001891493797302], [-0.1854969710111618]]
[[0.9596244096755981], [-0.18520250916481018], [-0.6817941069602966], [-0.09770456701517105]]
[[0.9083061814308167], [-0.22530797123908997], [-0.676328718662262], [-0.010257595218718052]]
[[0.9136427640914917], [-0.2164609134197235], [-0.6600368618965149], [0.02263660356402397]]
[[0.9168007969856262], [-0.2124558836221695], [-0.6485370993614197], [0.03995887562632561]]
[[0.9051605463027954], [-0.22517162561416626], [-0.6560906171798706], [0.03439699485898018]]
[[0.9094040393829346], [-0.2230321615934372], [-0.6541443467140198], [0.039139218628406525]]
[[0.9096002578735352], [-0.222826287150383], [-0.6535019278526306], [0.0400603748857975]]
[[0.908413827419281], [-0.22407656908035278], [-0.6545786261558533], [0.03916453942656517]]
[[0.9083333611488342], [-0.22419507801532745], [-0.6546825766563416], [0.03917139768600464]]
[[0.9082274436950684], [-0.22430704534053802], [-0.6547639966011047], [0.03914394602179527]]
[[0.9081904292106628], [-0.22433322668075562], [-0.6547960042953491], [0.03912867605686188]]
[[0.9081904292106628], [-0.2243366539478302], [-0.6547960042953491], [0.039132412523031235]]
[[0.9081904292106628], [-0.2243335098028183], [-0.6547960042953491], [0.039141323417425156]]
[[0.9081904292106628], [-0.2243335098028183], [-0.6547960042953491], [0.03914272040128708]]
