[[0.5918605327606201], [0.11379921436309814], [-0.6395494341850281], [-0.4482352137565613]]
[[0.593860387802124], [0.1157873123884201], [-0.6380535960197449], [-0.44625324010849]]
[[0.5946043729782104], [0.11644160747528076], [-0.6374390125274658], [-0.44552236795425415]]
[[0.5947244167327881], [0.1165691614151001], [-0.6373400688171387], [-0.4453881084918976]]
[[0.5947333574295044], [0.11658599972724915], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
[[0.5947333574295044], [0.11658892035484314], [-0.6373324394226074], [-0.4453720450401306]]
