[[-0.34929007291793823], [-0.6613935232162476], [0.8932300806045532], [-0.3104606866836548]]
[[-0.34929007291793823], [-0.6613935232162476], [0.8932300806045532], [-0.3104606866836548]]
[[-0.26460087299346924], [-0.5763097405433655], [0.9652266502380371], [-0.22861161828041077]]
[[-0.2427845150232315], [-0.5546929240226746], [0.9839215874671936], [-0.20739233493804932]]
[[-0.23467855155467987], [-0.5469641089439392], [0.9881500601768494], [-0.20090769231319427]]
[[-0.23085430264472961], [-0.5430280566215515], [0.9911608099937439], [-0.19718687236309052]]
[[-0.2289583832025528], [-0.5410639047622681], [0.9925116300582886], [-0.1953854113817215]]
[[-0.22802206873893738], [-0.5400887131690979], [0.9932063817977905], [-0.19450461864471436]]
[[-0.22759437561035156], [-0.539638102054596], [0.9935217499732971], [-0.19409345090389252]]
[[-0.22736042737960815], [-0.5393821001052856], [0.9937124848365784], [-0.19388262927532196]]
[[-0.22724737226963043], [-0.5392722487449646], [0.993790864944458], [-0.19377799332141876]]
[[-0.22718718647956848], [-0.5391985177993774], [0.9938430786132812], [-0.19371777772903442]]
[[-0.22716420888900757], [-0.5391671657562256], [0.9938700199127197], [-0.19369402527809143]]
[[-0.22714447975158691], [-0.5391671657562256], [0.9938700199127197], [-0.1936744898557663]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
[[-0.2271352857351303], [-0.5391671657562256], [0.9938700199127197], [-0.19366487860679626]]
