[[-0.6841593384742737], [-0.704531192779541], [-0.4944354295730591], [-0.33284127712249756]]
[[0.9737269878387451], [-0.40285009145736694], [-0.9141561985015869], [0.3396643102169037]]
[[1.011591911315918], [-0.4210488796234131], [-0.9418829679489136], [0.3708260953426361]]
[[1.0082567930221558], [-0.4233023524284363], [-0.9397073984146118], [0.3726312816143036]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
[[1.0082284212112427], [-0.42337778210639954], [-0.9397584795951843], [0.3726142942905426]]
